ts	shopping	idade	genero	freq	q01	q02	q03	q04	q05	q06	q07	q08	q09	q10	q11	q12	q13	q14	q15	q16	q17	q18	q19	q20	q21
11:49:29	Eldorado	25-34	NB	ano	3	4	1	Freq	1	4	3	5	2	Rar	5	2	Freq	Freq	4	5	5	Freq	4	5	Nunca
13:11:15	Aricanduva	55-64	F	ano	2	2	2	Vezes	4	2	4	2	4	Freq	4	3	Rar	Vezes	2	2	3	Rar	4	2	Vezes
13:13:39	Eldorado	25-34	M	mes	4	3	2	Freq	2	4	2	5	2	Rar	4	3	Vezes	Vezes	4	4	4	Vezes	4	4	Rar
13:20:10	Morumbi	35-44	M	mes	3	3	2	Freq	2	4	2	5	2	Rar	4	3	Vezes	Vezes	4	4	4	Vezes	4	4	Rar
13:28:56	AnaliaFranco	25-34	M	mais	4	3	2	Freq	2	4	2	5	2	Rar	4	3	Vezes	Vezes	5	4	4	Vezes	4	5	Rar
13:39:15	IguatemiSP	35-44	F	mes	4	3	2	Vezes	4	2	5	2	4	Freq	3	3	Rar	Vezes	3	2	3	Rar	4	3	Rar
13:53:13	Eldorado	45-54	M	mes	3	4	2	Vezes	4	2	4	2	5	Freq	4	3	Vezes	Vezes	2	2	3	Vezes	4	3	Rar
14:50:35	Higienopolis	25-34	M	mes	2	2	2	Rar	4	2	2	3	5	Vezes	2	2	Freq	Freq	5	3	4	Sempre	3	4	Rar
14:54:29	MetroTatuape	25-34	M	mes	3	3	3	Rar	3	3	3	3	3	Vezes	3	3	Rar	Rar	3	3	4	Vezes	4	3	Nunca
14:56:39	VillaLobos	25-34	M	ano	4	3	3	Rar	2	4	2	5	2	Vezes	4	2	Vezes	Freq	5	5	4	Freq	4	5	Rar
14:56:40	MetroTatuape	25-34	M	mes	3	3	3	Rar	3	3	3	3	3	Vezes	3	3	Rar	Rar	3	3	4	Vezes	4	3	Nunca
14:56:41	CidadeSaoPaulo	35-44	NI	mes	3	3	2	Vezes	4	2	4	2	4	Vezes	3	4	Rar	Rar	3	2	3	Rar	4	2	Nunca
14:56:42	D&D	35-44	F	mes	2	2	2	Freq	3	3	3	3	3	Vezes	4	2	Vezes	Freq	4	3	4	Vezes	4	3	Rar
14:56:43	AnaliaFranco	25-34	F	mais	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Rar	4	3	4	Vezes	4	3	Nunca
14:56:44	Morumbi	35-44	M	mes	3	3	2	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	3	3	3	Vezes	4	3	Nunca
14:56:45	CenterNorte	35-44	M	ano	3	3	2	Vezes	4	2	4	2	4	Vezes	2	4	Rar	Rar	3	2	3	Rar	3	2	Nunca
14:56:46	Morumbi	45-54	F	ano	3	3	2	Rar	4	2	4	2	4	Vezes	2	4	Nunca	Rar	2	2	3	Nunca	3	2	Nunca
14:56:47	WestPlaza	35-44	F	ano	3	3	2	Vezes	2	3	3	3	3	Vezes	3	3	Vezes	Vezes	3	3	4	Vezes	4	3	Nunca
14:56:49	Eldorado	35-44	F	ano	2	1	2	Freq	3	3	3	3	3	Vezes	4	2	Vezes	Freq	4	4	4	Vezes	4	3	Nunca
14:56:51	Bourbon	25-34	F	mes	3	3	3	Vezes	2	4	1	4	2	Vezes	4	2	Vezes	Freq	5	4	4	Freq	4	4	Rar
14:56:52	JKIguatemi	25-34	F	ano	3	3	2	Vezes	4	2	4	2	4	Vezes	3	3	Rar	Vezes	3	2	3	Rar	3	2	Nunca
14:56:53	Bourbon	18-24	M	mais	3	3	3	Vezes	1	5	1	5	1	Vezes	4	2	Vezes	Freq	5	5	4	Sempre	4	4	Rar
14:56:54	LojaDeRua	25-34	M	mes	3	3	2	Vezes	4	2	4	2	4	Vezes	2	3	Rar	Rar	3	3	3	Rar	4	2	Nunca
14:57:00	AnaliaFranco	45-54	F	ano	2	1	2	Freq	3	3	3	3	3	Vezes	4	2	Vezes	Vezes	4	4	5	Vezes	4	3	Nunca
14:57:01	Eldorado	18-24	F	mais	4	3	4	Rar	2	4	2	5	2	Vezes	4	2	Vezes	Freq	5	5	4	Sempre	5	5	Rar
14:57:02	Ibirapuera	35-44	M	mais	3	3	2	Rar	4	2	4	2	4	Vezes	3	3	Rar	Vezes	3	3	3	Rar	3	2	Nunca
14:57:03	CenterNorte	35-44	M	ano	2	1	2	Freq	3	3	3	3	3	Vezes	4	2	Vezes	Freq	3	3	4	Vezes	4	3	Nunca
14:57:04	CenterNorte	25-34	F	ano	3	3	2	Vezes	4	2	4	2	4	Freq	2	4	Nunca	Rar	3	2	3	Rar	3	2	Nunca
14:57:05	WestPlaza	18-24	M	ano	3	3	3	Vezes	2	4	1	5	2	Vezes	4	2	Vezes	Freq	5	5	4	Freq	4	5	Rar
14:57:11	LojaDeRua	65+	F	ano	3	3	2	Rar	4	2	4	2	4	Vezes	3	3	Rar	Rar	3	2	3	Rar	3	2	Nunca
14:57:12	JKIguatemi	55-64	F	mes	3	3	2	Rar	5	2	4	2	4	Vezes	2	4	Nunca	Rar	2	2	3	Nunca	3	1	Nunca
14:57:13	CenterNorte	45-54	F	mes	3	3	2	Vezes	4	2	4	2	4	Vezes	3	3	Rar	Vezes	3	2	3	Rar	4	2	Nunca
14:57:14	Eldorado	55-64	F	ano	3	3	3	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	4	3	4	Vezes	4	3	Nunca
14:57:15	Outro	25-34	M	mes	3	3	3	Vezes	2	5	1	5	1	Vezes	4	2	Freq	Freq	5	4	4	Freq	4	4	Rar
14:57:16	AnaliaFranco	45-54	M	mes	3	3	2	Vezes	4	2	4	2	4	Vezes	2	4	Nunca	Rar	2	1	3	Nunca	3	1	Nunca
14:57:17	Aricanduva	45-54	F	mes	3	3	2	Vezes	4	2	4	2	5	Vezes	3	3	Rar	Rar	3	2	3	Rar	4	2	Nunca
14:57:18	AnaliaFranco	25-34	M	ano	3	3	3	Vezes	2	4	2	4	2	Vezes	3	3	Vezes	Vezes	4	4	3	Vezes	4	3	Nunca
14:57:19	Ibirapuera	35-44	F	mais	3	3	2	Vezes	3	3	3	3	3	Vezes	3	3	Rar	Vezes	4	3	4	Vezes	4	3	Nunca
